version,S,runtime
sequential_vector,8,0.000001
sequential_array,8,0.000001
omp_parallel_vector,8,0.051491
omp_parallel_array,8,0.056706
omp_simd_array,8,0.000337
sequential_vector,128,0.000002
sequential_array,128,0.000002
omp_parallel_vector,128,0.089238
omp_parallel_array,128,0.026425
omp_simd_array,128,0.000482
sequential_vector,32768,0.000200
sequential_array,32768,0.000201
omp_parallel_vector,32768,0.001199
omp_parallel_array,32768,0.001006
omp_simd_array,32768,0.000886
sequential_vector,524288,0.003513
sequential_array,524288,0.003349
omp_parallel_vector,524288,0.003419
omp_parallel_array,524288,0.002432
omp_simd_array,524288,0.007997
sequential_vector,8388608,0.058513
sequential_array,8388608,0.056465
omp_parallel_vector,8388608,0.080940
omp_parallel_array,8388608,0.053756
omp_simd_array,8388608,0.059112
sequential_vector,134217728,0.922170
sequential_array,134217728,0.919077
omp_parallel_vector,134217728,0.211063
omp_parallel_array,134217728,0.199069
omp_simd_array,134217728,0.279506
sequential_vector,2147483648,14.685658
sequential_array,2147483648,14.888358
omp_parallel_vector,2147483648,2.653754
omp_parallel_array,2147483648,2.574773
omp_simd_array,2147483648,2.928560
sequential_vector,8,0.000001
sequential_array,8,0.000001
omp_parallel_vector,8,0.000956
omp_parallel_array,8,0.000321
omp_simd_array,8,0.000319
sequential_vector,128,0.000002
sequential_array,128,0.000002
omp_parallel_vector,128,0.000506
omp_parallel_array,128,0.000458
omp_simd_array,128,0.006351
sequential_vector,32768,0.000198
sequential_array,32768,0.000195
omp_parallel_vector,32768,0.016484
omp_parallel_array,32768,0.006681
omp_simd_array,32768,0.000843
sequential_vector,524288,0.003090
sequential_array,524288,0.003018
omp_parallel_vector,524288,0.008884
omp_parallel_array,524288,0.003621
omp_simd_array,524288,0.007742
sequential_vector,8388608,0.057194
sequential_array,8388608,0.056801
omp_parallel_vector,8388608,0.045993
omp_parallel_array,8388608,0.099904
omp_simd_array,8388608,0.017770
sequential_vector,134217728,0.933428
sequential_array,134217728,0.933724
omp_parallel_vector,134217728,0.192299
omp_parallel_array,134217728,0.190281
omp_simd_array,134217728,0.254214
sequential_vector,2147483648,15.183638
sequential_array,2147483648,15.167111
omp_parallel_vector,2147483648,2.624440
omp_parallel_array,2147483648,2.677984
omp_simd_array,2147483648,2.970003
