version,N,runtime
omp_tasks,1,0.192545
sequential,1,0.198633
omp_tasks,2,0.241601
sequential,2,0.375017
omp_tasks,4,0.615634
sequential,4,1.213987
omp_tasks,8,4.057958
sequential,8,8.972085
omp_tasks,10,11.07336
sequential,10,23.780107
omp_tasks,12,25.69607
sequential,12,62.699278
omp_tasks,1,0.141203
sequential,1,0.191355
omp_tasks,2,0.19914
sequential,2,0.371879
omp_tasks,4,0.543404
sequential,4,1.169074
omp_tasks,8,3.602552
sequential,8,8.912751
omp_tasks,10,9.28865
sequential,10,23.914791
omp_tasks,12,25.641647
sequential,12,63.021891
omp_tasks,1,0.140426
sequential,1,0.191811
omp_tasks,2,0.202137
sequential,2,0.388875
omp_tasks,4,0.646924
sequential,4,1.349388
omp_tasks,8,3.580449
sequential,8,9.121028
omp_tasks,10,9.298759
sequential,10,24.454059
omp_tasks,12,24.950754
sequential,12,61.880291
omp_tasks,1,0.145664
sequential,1,0.194383
omp_tasks,2,0.212655
sequential,2,0.366987
omp_tasks,4,0.515836
sequential,4,1.157338
omp_tasks,8,3.704087
sequential,8,8.822991
omp_tasks,10,9.260342
sequential,10,23.493462
omp_tasks,12,24.656062
sequential,12,61.762186
omp_tasks,1,0.133241
sequential,1,0.187366
omp_tasks,2,0.206067
sequential,2,0.365904
omp_tasks,4,0.515678
sequential,4,1.177561
omp_tasks,8,3.469536
sequential,8,8.819109
omp_tasks,10,9.773525
sequential,10,23.185498
omp_tasks,12,24.533368
sequential,12,61.330904
omp_tasks,1,0.13744
sequential,1,0.189537
omp_tasks,2,0.193311
sequential,2,0.363194
omp_tasks,4,0.525077
sequential,4,1.150297
omp_tasks,8,3.632224
sequential,8,8.764565
omp_tasks,10,9.420471
sequential,10,24.683824
omp_tasks,12,24.774342
sequential,12,62.513067
omp_tasks,1,0.126393
sequential,1,0.198633
omp_tasks,2,0.192979
sequential,2,0.380748
omp_tasks,4,0.564661
sequential,4,1.169138
omp_tasks,8,3.529708
sequential,8,9.017671
omp_tasks,10,9.642665
sequential,10,23.452855
omp_tasks,12,24.850838
sequential,12,61.201874
omp_tasks,1,0.131702
sequential,1,0.18683
omp_tasks,2,0.232203
sequential,2,0.371419
omp_tasks,4,0.526866
sequential,4,1.172311
omp_tasks,8,3.528781
sequential,8,8.930908
omp_tasks,10,9.094905
sequential,10,23.541798
omp_tasks,12,24.03776
sequential,12,60.583511
omp_tasks,1,0.139053
sequential,1,0.186054
omp_tasks,2,0.211563
sequential,2,0.365039
omp_tasks,4,0.493189
sequential,4,1.136601
omp_tasks,8,3.496715
sequential,8,8.764764
omp_tasks,20,1171.667249
omp_tasks,10,9.247619
sequential,10,22.815867
omp_tasks,12,24.099804
sequential,12,59.814541
omp_tasks,1,0.1276
sequential,1,0.19383
omp_tasks,2,0.189898
sequential,2,0.363267
omp_tasks,4,0.492699
sequential,4,1.155589
omp_tasks,8,3.614446
sequential,8,8.630284
omp_tasks,10,9.444882
sequential,10,23.480665
omp_tasks,12,24.2295
sequential,12,61.480738
