version,N,M,P,runtime
sequential,500,500,500,0.087488
omp_double,500,500,500,0.057757
omp_float,500,500,500,0.042502
omp_half,500,500,500,0.172255
sequential,1000,1000,1000,0.727957
omp_double,1000,1000,1000,0.217875
omp_float,1000,1000,1000,0.20315
omp_half,1000,1000,1000,1.329212
sequential,1500,1500,1500,4.91736
omp_double,1500,1500,1500,1.121696
omp_float,1500,1500,1500,1.047621
omp_half,1500,1500,1500,4.056021
sequential,2000,2000,2000,10.807033
omp_double,2000,2000,2000,3.398176
omp_float,2000,2000,2000,2.669397
omp_half,2000,2000,2000,9.460549
sequential,2500,2500,2500,34.793483
omp_double,2500,2500,2500,7.521485
omp_float,2500,2500,2500,6.215476
omp_half,2500,2500,2500,18.497074
sequential,500,500,500,0.087276
omp_double,500,500,500,0.046051
omp_float,500,500,500,0.041482
omp_half,500,500,500,0.174916
sequential,1000,1000,1000,0.731071
omp_double,1000,1000,1000,0.229217
omp_float,1000,1000,1000,0.207288
omp_half,1000,1000,1000,1.237306
sequential,1500,1500,1500,4.88748
omp_double,1500,1500,1500,1.156123
omp_float,1500,1500,1500,1.084491
omp_half,1500,1500,1500,4.133708
sequential,2000,2000,2000,10.883337
omp_double,2000,2000,2000,3.320818
omp_float,2000,2000,2000,2.75892
omp_half,2000,2000,2000,9.654165
sequential,2500,2500,2500,33.931678
omp_double,2500,2500,2500,7.490624
omp_float,2500,2500,2500,6.175486
omp_half,2500,2500,2500,18.687575
sequential,500,500,500,0.087172
omp_double,500,500,500,0.045499
omp_float,500,500,500,0.052818
omp_half,500,500,500,0.183244
sequential,1000,1000,1000,0.707977
omp_double,1000,1000,1000,0.233971
omp_float,1000,1000,1000,0.19086
omp_half,1000,1000,1000,1.281835
sequential,1500,1500,1500,4.840667
omp_double,1500,1500,1500,1.135226
omp_float,1500,1500,1500,1.013569
omp_half,1500,1500,1500,4.053969
sequential,2000,2000,2000,11.000039
omp_double,2000,2000,2000,3.317746
omp_float,2000,2000,2000,2.643083
omp_half,2000,2000,2000,10.258604
sequential,2500,2500,2500,34.779559
omp_double,2500,2500,2500,7.482536
omp_float,2500,2500,2500,6.271901
omp_half,2500,2500,2500,19.207769
sequential,500,500,500,0.086595
omp_double,500,500,500,0.047265
omp_float,500,500,500,0.043523
omp_half,500,500,500,0.171459
sequential,1000,1000,1000,0.72599
omp_double,1000,1000,1000,0.213513
omp_float,1000,1000,1000,0.192428
omp_half,1000,1000,1000,1.17357
sequential,1500,1500,1500,4.528784
omp_double,1500,1500,1500,1.141792
omp_float,1500,1500,1500,1.068586
omp_half,1500,1500,1500,4.365826
sequential,2000,2000,2000,10.840924
omp_double,2000,2000,2000,3.073115
omp_float,2000,2000,2000,2.501028
omp_half,2000,2000,2000,8.563671
