version,D,N,runtime
sequential,100,2,0.000594
omp,100,2,0.011318
sequential,1000,2,0.722061
omp,1000,2,0.203175
sequential,100,4,0.001783
omp,100,4,0.002929
sequential,1000,4,2.089589
omp,1000,4,0.570319
sequential,100,8,0.004251
omp,100,8,0.009984
sequential,1000,8,4.983744
omp,1000,8,1.330774
sequential,100,16,0.008865
omp,100,16,0.01804
sequential,1000,16,10.648241
omp,1000,16,2.811077
sequential,100,32,0.018815
omp,100,32,0.030892
sequential,1000,32,21.447917
omp,1000,32,6.052074
sequential,100,2,0.000604
omp,100,2,0.001302
sequential,1000,2,0.710823
omp,1000,2,0.194796
sequential,100,4,0.001777
omp,100,4,0.003767
sequential,1000,4,2.102049
omp,1000,4,0.548147
sequential,100,8,0.004143
omp,100,8,0.006355
sequential,1000,8,4.847089
omp,1000,8,1.39011
sequential,100,16,0.008851
omp,100,16,0.028953
sequential,1000,16,10.712805
omp,1000,16,2.793785
sequential,100,32,0.018546
omp,100,32,0.030615
sequential,1000,32,21.729771
omp,1000,32,5.826226
sequential,100,2,0.00061
omp,100,2,0.00132
sequential,1000,2,0.715247
omp,1000,2,0.18696
sequential,100,4,0.001795
omp,100,4,0.002917
sequential,1000,4,2.094561
omp,1000,4,0.577272
sequential,100,8,0.004196
omp,100,8,0.007745
sequential,1000,8,4.901397
omp,1000,8,1.447377
sequential,100,16,0.00886
omp,100,16,0.014164
sequential,1000,16,11.002705
omp,1000,16,2.931592
sequential,100,32,0.018531
omp,100,32,0.110381
sequential,1000,32,21.839626
omp,1000,32,7.257094
sequential,100,2,0.000605
omp,100,2,0.011594
sequential,1000,2,0.712009
omp,1000,2,0.223002
sequential,100,4,0.001836
omp,100,4,0.03128
sequential,1000,4,2.189053
omp,1000,4,0.634728
sequential,100,8,0.004199
omp,100,8,0.054784
sequential,1000,8,5.1192
omp,1000,8,1.502555
sequential,100,16,0.009084
omp,100,16,0.154029
sequential,1000,16,10.805914
omp,1000,16,3.418986
sequential,100,32,0.019512
omp,100,32,0.291393
sequential,1000,32,22.46453
omp,1000,32,7.311621
sequential,100,2,0.000614
omp,100,2,0.011517
sequential,1000,2,0.715049
omp,1000,2,0.21494
sequential,100,4,0.001856
omp,100,4,0.029357
sequential,1000,4,2.17248
omp,1000,4,0.679378
sequential,100,8,0.004431
omp,100,8,0.053926
sequential,1000,8,5.068414
omp,1000,8,1.528161
sequential,100,16,0.009015
omp,100,16,0.143044
sequential,1000,16,10.957171
omp,1000,16,3.303527
sequential,100,32,0.018663
omp,100,32,0.299849
sequential,1000,32,22.506595
omp,1000,32,6.792616
sequential,100,2,0.000609
omp,100,2,0.011984
sequential,1000,2,0.710655
omp,1000,2,0.224952
sequential,100,4,0.001831
omp,100,4,0.027244
sequential,1000,4,2.205981
omp,1000,4,0.635046
sequential,100,8,0.004146
omp,100,8,0.069892
sequential,1000,8,5.091681
omp,1000,8,1.558916
sequential,100,16,0.009058
omp,100,16,0.133654
sequential,1000,16,10.647735
omp,1000,16,3.3302
sequential,100,32,0.019076
omp,100,32,0.344765
sequential,1000,32,23.332122
omp,1000,32,7.185376
sequential,100,2,0.000625
omp,100,2,0.01262
sequential,1000,2,0.72476
omp,1000,2,0.219076
sequential,100,4,0.001834
omp,100,4,0.033873
sequential,1000,4,2.159718
omp,1000,4,0.675437
sequential,100,8,0.004239
omp,100,8,0.073496
sequential,1000,8,5.038203
omp,1000,8,1.517506
sequential,100,16,0.009279
omp,100,16,0.133486
sequential,1000,16,10.691666
omp,1000,16,3.37638
sequential,100,32,0.019459
omp,100,32,0.398921
sequential,1000,32,22.487706
omp,1000,32,6.770707
sequential,100,2,0.000613
omp,100,2,0.011414
sequential,1000,2,0.741211
omp,1000,2,0.22834
sequential,100,4,0.001826
omp,100,4,0.028685
sequential,1000,4,2.14531
omp,1000,4,0.647734
sequential,100,8,0.004184
omp,100,8,0.068307
sequential,1000,8,4.991315
omp,1000,8,1.512618
sequential,100,16,0.008865
omp,100,16,0.14538
sequential,1000,16,10.763169
omp,1000,16,3.212485
sequential,100,32,0.018437
omp,100,32,0.306486
sequential,1000,32,21.933053
omp,1000,32,6.79646
sequential,100,2,0.000604
omp,100,2,0.014066
sequential,1000,2,0.70873
omp,1000,2,0.214065
sequential,100,4,0.001832
omp,100,4,0.034093
sequential,1000,4,2.158972
omp,1000,4,0.674232
sequential,100,8,0.004248
omp,100,8,0.057632
sequential,1000,8,5.037873
omp,1000,8,1.524047
sequential,100,16,0.008901
omp,100,16,0.146725
sequential,1000,16,10.758258
omp,1000,16,3.335986
sequential,100,32,0.018994
omp,100,32,0.316619
sequential,1000,32,22.32201
omp,1000,32,6.730283
sequential,100,2,0.000609
omp,100,2,0.011893
sequential,1000,2,0.717198
omp,1000,2,0.225746
sequential,100,4,0.001869
omp,100,4,0.030609
sequential,1000,4,2.166232
omp,1000,4,0.671495
sequential,100,8,0.004204
omp,100,8,0.073107
sequential,1000,8,5.01118
omp,1000,8,1.515107
sequential,100,16,0.00901
omp,100,16,0.089782
sequential,1000,16,10.679309
omp,1000,16,3.37841
sequential,100,32,0.018735
omp,100,32,0.291013
sequential,1000,32,21.889095
omp,1000,32,6.801056
